"Date","Price","Open","High","Low","Change %"
"Aug 2012","5.400","5.400","5.400","5.400","-1.28%"
"Jul 2012","5.470","5.470","5.470","5.470","-4.54%"
"Jun 2012","5.730","5.730","5.730","5.730","-4.18%"
"May 2012","5.980","5.980","5.980","5.980","0.34%"
"Apr 2012","5.960","5.960","5.960","5.960","0.00%"
"Mar 2012","5.960","5.960","5.960","5.960","-3.09%"
"Feb 2012","6.150","6.150","6.150","6.150","0.00%"
"Jan 2012","6.150","6.150","6.150","6.150","-5.38%"
"Dec 2011","6.500","6.500","6.500","6.500","-5.80%"
"Nov 2011","6.900","6.900","6.900","6.900","14.62%"
"Oct 2011","6.020","6.020","6.020","6.020","5.80%"
"Sep 2011","5.690","5.690","5.690","5.690","-4.37%"
"Aug 2011","5.950","5.950","5.950","5.950","0.85%"
"Jul 2011","5.900","5.900","5.900","5.900","2.08%"
"Jun 2011","5.780","5.780","5.780","5.780","0.52%"
"May 2011","5.750","5.750","5.750","5.750","1.77%"
"Apr 2011","5.650","5.650","5.650","5.650","-3.09%"
"Mar 2011","5.830","5.830","5.830","5.830","-2.02%"
"Feb 2011","5.950","5.950","5.950","5.950","0.85%"
"Jan 2011","5.900","5.900","5.900","5.900","-0.84%"
"Dec 2010","5.950","5.950","5.950","5.950","0.00%"
"Nov 2010","5.950","5.950","5.950","5.950","-0.83%"
"Oct 2010","6.000","6.000","6.000","6.000","-2.44%"
"Sep 2010","6.150","6.150","6.150","6.150","-3.91%"
"Aug 2010","6.400","6.400","6.400","6.400","-5.60%"
"Jul 2010","6.780","6.780","6.780","6.780","-3.42%"
"Jun 2010","7.020","7.020","7.020","7.020","4.00%"
"May 2010","6.750","6.750","6.750","6.750","0.00%"
"Apr 2010","6.750","6.750","6.750","6.750","-3.43%"
"Mar 2010","6.990","6.990","6.990","6.990","-5.03%"
"Feb 2010","7.360","7.360","7.360","7.360","-1.34%"
"Jan 2010","7.460","7.460","7.460","7.460","-0.40%"
"Dec 2009","7.490","7.490","7.490","7.490","2.60%"
"Nov 2009","7.300","7.300","7.300","7.300","3.55%"
"Oct 2009","7.050","7.050","7.050","7.050","5.22%"
"Sep 2009","6.700","6.700","6.700","6.700","1.52%"
"Aug 2009","6.600","6.600","6.600","6.600","-5.71%"
"Jul 2009","7.000","7.000","7.000","7.000","-7.89%"
"Jun 2009","7.600","7.600","7.600","7.600","10.95%"
"May 2009","6.850","6.850","6.850","6.850","-14.38%"
"Apr 2009","8.000","8.000","8.000","8.000","-4.76%"
"Mar 2009","8.400","8.400","8.400","8.400","-6.67%"
"Feb 2009","9.000","9.000","9.000","9.000","-10.00%"
"Jan 2009","10.000","10.000","10.000","10.000","-6.98%"
"Dec 2008","10.750","10.750","10.750","10.750","-6.52%"
"Nov 2008","11.500","11.500","11.500","11.500","-8.00%"
"Oct 2008","12.500","12.500","12.500","12.500","-1.19%"
"Sep 2008","12.650","12.650","12.650","12.650","3.69%"
"Aug 2008","12.200","12.200","12.200","12.200","-1.21%"
"Jul 2008","12.350","12.350","12.350","12.350","-1.98%"
"Jun 2008","12.600","12.600","12.600","12.600","-1.18%"
"May 2008","12.750","12.750","12.750","12.750","3.83%"
"Apr 2008","12.280","12.280","12.280","12.280","4.51%"
"Mar 2008","11.750","11.750","11.750","11.750","2.35%"
"Feb 2008","11.480","11.480","11.480","11.480","1.15%"
"Jan 2008","11.350","11.350","11.350","11.350","-1.73%"
"Dec 2007","11.550","11.550","11.550","11.550","-0.43%"
"Nov 2007","11.600","11.600","11.600","11.600","7.91%"
"Oct 2007","10.750","10.750","10.750","10.750","0.47%"
"Sep 2007","10.700","10.700","10.700","10.700","0.94%"
"Aug 2007","10.600","10.600","10.600","10.600","2.22%"
"Jul 2007","10.370","10.370","10.370","10.370","2.47%"
"Jun 2007","10.120","10.120","10.120","10.120","6.53%"
"May 2007","9.500","9.500","9.500","9.500","2.70%"
"Apr 2007","9.250","9.250","9.250","9.250","-1.07%"
"Mar 2007","9.350","9.350","9.350","9.350","0.54%"
"Feb 2007","9.300","9.300","9.300","9.300","0.54%"
"Jan 2007","9.250","9.250","9.250","9.250","1.09%"
"Dec 2006","9.150","9.150","9.150","9.150","1.67%"
"Nov 2006","9.000","9.000","9.000","9.000","1.69%"
"Oct 2006","8.850","8.850","8.850","8.850","2.19%"
"Sep 2006","8.660","8.660","8.660","8.660","3.46%"
"Aug 2006","8.370","8.370","8.370","8.370","-1.30%"
"Jul 2006","8.480","8.480","8.480","8.480","6.00%"
"Jun 2006","8.000","8.000","8.000","8.000","8.11%"
"May 2006","7.400","7.400","7.400","7.400","2.64%"
"Apr 2006","7.210","7.210","7.210","7.210","0.14%"
"Mar 2006","7.200","7.200","7.200","7.200","0.70%"
"Feb 2006","7.150","7.150","7.150","7.150","2.14%"
"Jan 2006","7.000","7.000","7.000","7.000","-0.71%"
"Dec 2005","7.050","7.050","7.050","7.050","-1.40%"
"Nov 2005","7.150","7.150","7.150","7.150","-0.69%"
"Oct 2005","7.200","7.200","7.200","7.200","3.60%"
"Sep 2005","6.950","6.950","6.950","6.950","-3.47%"
"Aug 2005","7.200","7.200","7.200","7.200","2.86%"
"Jul 2005","7.000","7.000","7.000","7.000","0.72%"
